loggingSample(N),Run RotationX (rad/s),Run RotationY,Run RotationZ,Walk RotationX,Walk RotationY,Walk RotationZ,Static RotationX,Static RotationY,Static RotationZ,Hybrid RotationX,Hybrid RotationY,Hybrid RotationZ
146,-1.223924655,-0.847911875,0.603913056,-0.292828677,0.220421588,-0.010013219,-0.03097283,0.040186036,0.001776062,-0.515908721,-0.195768084,0.198558633
147,-1.490091627,-0.791879499,0.570943655,-0.293107776,0.232968006,0.053970291,-0.026074744,0.048682052,-0.000638626,-0.603091382,-0.17007648,0.208091773
148,-1.657423098,-0.599135345,0.632965481,-0.26867061,0.239311656,0.101975101,-0.026074744,0.048682052,-0.000638626,-0.650722817,-0.103713879,0.244767319
149,-1.712952137,-0.355317355,0.710959881,-0.220693496,0.234530216,0.12433873,-0.015080949,0.065730278,0.004165717,-0.649575527,-0.018352287,0.279821443
150,-1.676841271,-0.169184765,0.718895835,-0.16648645,0.221168871,0.136938412,0.000807737,0.085242194,0.014960574,-0.614173328,0.0457421,0.29026494
151,-1.586992341,-0.065321749,0.607601268,-0.104822021,0.204063653,0.134966075,0.008169247,0.093735547,0.012519254,-0.561215038,0.077492484,0.251695532
152,-1.433621959,-0.046035403,0.39986698,-0.022156701,0.179586273,0.12428307,0.008169247,0.093735547,0.012519254,-0.482536471,0.075762139,0.178889768
153,-1.208351021,-0.08677431,0.13433171,-0.022156701,0.179586273,0.12428307,0.013126987,0.08764037,0.011224159,-0.405793578,0.060150778,0.089946313
154,-0.924858322,-0.175229076,-0.167080335,0.056811351,0.162361746,0.105242001,0.01680934,0.092488123,0.008801215,-0.283745877,0.026540264,-0.01767904
155,-0.5798482,-0.302276773,-0.401859024,0.103753827,0.141551007,0.091349089,0.024242223,0.082747877,0.008663796,-0.150617383,-0.02599263,-0.10061538
156,-0.170922211,-0.42313129,-0.607147199,0.078000793,0.124482807,0.080675139,0.019425097,0.059624715,0.00616868,-0.024498774,-0.079674589,-0.17343446
157,0.314199479,-0.49547899,-0.825032126,0.016476978,0.117199861,0.072856631,0.007146326,0.049912965,0.007450193,0.112607594,-0.109455388,-0.248241767
158,0.752111313,-0.489810186,-1.023862667,-0.036449354,0.108741395,0.073378876,-0.007566041,0.040153545,0.000317182,0.236031973,-0.113638415,-0.316722203
159,1.114442369,-0.436212737,-1.154071271,-0.089428949,0.102787898,0.085974297,-0.022294387,0.034043721,-0.006794257,0.334239678,-0.099793706,-0.358297077
160,1.114442369,-0.436212737,-1.154071271,-0.135032121,0.1028875,0.094908137,-0.034659444,0.045005825,-0.006596384,0.314916935,-0.096106471,-0.355253173
161,1.334738788,-0.347996591,-1.215017979,-0.168283019,0.096876746,0.101261108,-0.045793854,0.057175938,-0.007610515,0.373553972,-0.064647969,-0.373789129
162,1.278060062,-0.100693056,-1.164723915,-0.183055041,0.087217993,0.111010408,-0.063094281,0.068157749,-0.004947621,0.343970247,0.018227562,-0.352887043
163,1.08986512,0.083493296,-1.113378968,-0.183055041,0.087217993,0.111010408,-0.070600667,0.088889926,0.002489789,0.278736471,0.086533738,-0.333292924
164,0.927627744,0.245761299,-1.061237204,-0.186769351,0.084839258,0.11947713,-0.073097114,0.092570947,0.00736151,0.222587093,0.141057168,-0.311466188
165,0.854298402,0.384610795,-1.045161298,-0.181839308,0.090866257,0.111018664,-0.073097114,0.092570947,0.00736151,0.199787327,0.189349333,-0.308927041
166,0.86163115,0.459567595,-1.121971658,-0.146017394,0.085824894,0.087692036,-0.076838056,0.096274871,0.015864184,0.212925233,0.21388912,-0.339471813
167,0.885815582,0.446147393,-1.328501931,-0.079348352,0.081866105,0.047157392,-0.083010465,0.092682267,0.024350347,0.241152255,0.206898588,-0.418998064
168,0.845366959,0.330271124,-1.5916068,0.004574245,0.071834776,0.011223892,-0.086745016,0.098790493,0.028043885,0.254398729,0.166965464,-0.517446341
169,0.663436571,0.123703566,-1.787396278,0.110729444,0.039939427,-0.015431687,-0.08180858,0.097561444,0.026777552,0.230785812,0.087068146,-0.592016804
170,0.3499399,-0.209896509,-1.888457383,0.166263011,0.030039392,-0.034176613,-0.060865215,0.097531617,0.025345304,0.151779232,-0.027441833,-0.632429564
